"Total seconds","Self seconds","File size","File path"
0.125000,0.000000,2157,"/usr/include/c++/7/cinttypes"
0.093750,0.062500,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.093750,0.000000,2167,"/usr/include/c++/7/cstdint"
0.046875,0.015625,12985,"/usr/include/features.h"
0.031250,0.015625,11892,"/usr/include/inttypes.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.000000,0.000000,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
